MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=14316
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=14340
type=note_on channel=0 note=57 velocity=80 time=60 actual_time=14400
type=note_on channel=0 note=59 velocity=0 time=36 actual_time=14436
type=note_on channel=0 note=57 velocity=0 time=348 actual_time=14784
type=note_on channel=0 note=57 velocity=80 time=456 actual_time=15240
type=note_on channel=0 note=57 velocity=0 time=312 actual_time=15552
type=note_on channel=0 note=59 velocity=80 time=3768 actual_time=19320
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=19416
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=19440
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=19536
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=19560
type=note_on channel=0 note=59 velocity=0 time=48 actual_time=19608
type=note_on channel=0 note=59 velocity=80 time=12 actual_time=19620
type=note_on channel=0 note=59 velocity=0 time=144 actual_time=19764
type=note_on channel=0 note=57 velocity=80 time=36 actual_time=19800
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=19896
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=19920
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=20016
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=20040
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=20088
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=20100
type=note_on channel=0 note=57 velocity=0 time=156 actual_time=20256
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=20280
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=20376
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=20400
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=20448
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=20460
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=20556
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=20580
type=note_on channel=0 note=57 velocity=0 time=384 actual_time=20964
type=note_on channel=0 note=54 velocity=80 time=396 actual_time=21360
type=note_on channel=0 note=54 velocity=0 time=96 actual_time=21456
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=21480
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=21528
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=21540
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=21636
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=21660
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=21756
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=21780
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=21876
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=21900
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=21948
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=21960
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=22008
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=22020
type=note_on channel=0 note=57 velocity=0 time=108 actual_time=22128
type=note_on channel=0 note=59 velocity=80 time=12 actual_time=22140
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=22236
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=22260
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=22308
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=22320
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=22416
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=22440
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=22488
type=note_on channel=0 note=52 velocity=80 time=12 actual_time=22500
type=note_on channel=0 note=52 velocity=0 time=96 actual_time=22596
type=note_on channel=0 note=52 velocity=80 time=24 actual_time=22620
type=note_on channel=0 note=52 velocity=0 time=96 actual_time=22716
type=note_on channel=0 note=52 velocity=80 time=24 actual_time=22740
